"Word","NSyll","POS"
"a","1","minor|NN"
"aah","NULL","NULL"
"Aaron","2","NN"
"aback","2","RB"
"abacus","3","NN"
"abandon","3","VB|NN"
"abandoned","3","VB|JJ"
"abandoning","4","VB"
"abandonment","4","NN"
"abase","2","VB"
"abasement","3","NN"
"abash","2","VB"
"abate","2","VB"
"abated","3","VB"
"abbess","2","NN"
"abbey","2","NN"
"abbot","2","NN"
"abbreviate","4","VB"
"abide","2","VB"
"abides","2","VB"
"abiding","3","JJ|VB"
"Abigail","3","NN"
"abbreviated","5","JJ|VB"
"abbreviation","5","NN"
"abbreviations","5","NN"
"abdicate","3","VB"
"abdomen","3","NN"
"abdominal","4","JJ"
"abduct","2","VB"
"abduction","3","NN"
"Abe","1","NN"
"abed","2","RB"
"Abel","2","NN"
"Abel's","2","encl"
"aberrant","3","JJ"
"aberration","4","NN"
"aberrations","4","NN"
"abet","2","VB"
"abetted","3","VB"
"abeyance","2","NN"
"abhor","2","VB"
"abhorred","2","VB"
"abhorrent","3","JJ"
"abilities","4","NN"
"ability","4","NN"
"abject","2","JJ"
"ablaze","2","JJ"
"able","2","JJ"
"ably","2","RB"
"abnormal","3","JJ"
"abnormalities","5","NN"
"abnormality","5","NN"
"abnormally","4","RB"
"aboard","2","minor|RB"
"abode","2","NN"
"abolish","3","VB"
"abolished","3","VB"
"abolition","4","NN"
"abolitionist","5","NN|JJ"
"abolitionists","5","NN"
"abominate","4","VB"
"aborigines","5","NN"
"abort","2","VB"
"abominable","5","JJ"
"aboriginal","5","JJ|NN"
"aborigine","5","NN"
"abortion","3","NN"
"abortionist","4","NN"
"abortions","3","NN"
"abortive","3","JJ"
"abound","2","VB"
"abounded","3","VB"
"abounding","3","VB"
"abounds","2","VB"
"about","2","minor|RB|JJ"
"above","2","minor|JJ|NN"
"aboveground","3","RB|JJ"
"abracadabra","5","minor"
"Abraham","3","NN"
"abrasion","3","NN"
"abrasive","3","JJ"
"abreast","2","RB"
"abridged","2","VB"
"abridgment","3","NN"
"abroad","2","RB|NN"
"abrogate","3","VB"
"abrogated","4","VB"
"abrupt","2","JJ"
"abruptly","3","RB"
"abruptness","3","NN"
"abscess","2","NN"
"abscesses","3","NN"
"abscissa","3","NN"
"abscond","2","VB"
"absence","2","NN"
"absences","3","NN"
"absent","2","JJ"
"absented","3","VB"
"absentee","3","JJ"
"absenteeism","5","NN"
"absently","3","RB"
"absinth","2","NN"
"absolute","3","JJ|NN"
"absoluteness","4","NN"
"absentmindedly","5","RB"
"absolutely","4","RB"
"absolutes","3","NN"
"absolution","4","NN"
"absolutism","5","NN"
"absolve","2","VB"
"absorb","2","VB"
"absorbed","2","VB|JJ"
"absorbency","4","NN"
"absorbent","3","JJ"
"absorber","3","NN"
"absorbing","3","VB|JJ"
"absorbs","2","VB"
"absorption","3","NN"
"absorptions","3","NN"
"absorptive","3","JJ"
"abstain","2","VB"
"abstaining","3","VB|NN"
"abstention","3","NN"
"abstinence","3","NN"
"abstinent","3","JJ"
"abstract","2","JJ|NN|VB"
"abstracted","3","JJ|VB"
"abstractedness","4","NN"
"abstracting","3","VB|NN"
"abstraction","3","NN"
"abstractionism","5","NN"
"abstractionists","4","NN"
"abstractions","3","NN"
"abstractive","3","JJ"
"abstractly","3","RB"
"abstractors","3","NN"
"abstracts","2","NN|VB"
"abstruse","2","JJ"
"absurd","2","JJ|NN"
"absurdities","4","NN"
"absurdity","4","NN"
"absurdly","3","RB"
"abundance","3","NN"
"abundant","3","JJ"
"abuse","2","VB"
"abused","2","VB|JJ"
"abuses","3","VB"
"abusive","3","JJ"
"abut","2","VB"
"abutment","3","NN"
"abutments","3","NN"
"abysmal","3","JJ"
"abyss","2","NN"
"acacia","3","NN"
"academic","4","JJ|NN"
"academically","5","RB"
"academicianship","6","NN"
"academics","4","NN"
"academies","4","NN"
"academy","4","NN"
"Acadia","3","NN"
"Acapulco","4","NN"
"accede","2","VB"
"acceded","3","VB"
"accent","2","NN"
"accelerando","5","JJ|RB"
"accelerate","4","VB"
"accelerated","5","VB"
"accelerating","5","VB|NN"
"acceleration","5","NN"
"accelerations","5","NN"
"accelerator","5","NN"
"accelerators","5","NN"
"accelerometer","6","NN"
"accelerometers","6","NN"
"accented","3","VB|JJ"
"accenting","3","VB|NN"
"accents","2","NN"
"accentual","3","JJ"
"accentuate","4","VB"
"accentuated","5","VB"
"accentuates","4","VB"
"accept","2","VB"
"accolade","3","NN"
"acceptable","4","JJ"
"acceptance","3","NN"
"accepted","3","VB|JJ"
"accepting","3","VB"
"accepts","2","VB"
"access","2","NN|VB"
"accesses","3","NN|VB"
"accessible","4","JJ"
"accessions","3","NN"
"accessories","4","NN"
"accessors","3","NN"
"accessory","4","NN"
"accident","3","NN"
"accidental","4","JJ"
"accidents","3","NN"
"acclaim","2","NN|VB"
"accidentally","5","RB"
"acclaimed","2","VB|JJ"
"acclaims","2","VB"
"acclimate","3","VB"
"acclamation","4","NN"
"acclimatized","4","VB|JJ"
"accolades","3","NN"
